epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6147426962852478,0.6668279767036438,9.999999747378752e-05,0.800256609916687,0.3031249940395355,0.6423841118812561,0.8051947951316833,0.5,0.821479082107544,0.0,0.0
1,0.6063977479934692,0.7241628766059875,9.999999747378752e-05,0.7587522864341736,0.3176795542240143,0.7615894079208374,0.8051947951316833,0.5,0.8149319887161255,0.0,0.0
2,0.6161335110664368,0.7341957092285156,9.999999747378752e-05,0.7398915886878967,0.3297002613544464,0.8013244867324829,0.8051947951316833,0.5,0.8077644109725952,0.0,0.0
3,0.6175243258476257,0.7676172256469727,9.999999747378752e-05,0.7118146419525146,0.32777777314186096,0.7814569473266602,0.8051947951316833,0.5545699000358582,0.8014273643493652,0.0,0.0
4,0.6244784593582153,0.7628660798072815,9.999999747378752e-05,0.7219918370246887,0.34048256278038025,0.8410596251487732,0.8051947951316833,0.5333333611488342,0.7946494221687317,0.0,0.0
5,0.6272600889205933,0.7663464546203613,9.999999747378752e-05,0.710395097732544,0.3405994474887848,0.8278145790100098,0.8051947951316833,0.5,0.7855193018913269,0.0,0.0
6,0.6383866667747498,0.7824422121047974,9.999999747378752e-05,0.6921964883804321,0.34818941354751587,0.8278145790100098,0.8051947951316833,0.5,0.7807657122612,0.0,0.0
7,0.6425591111183167,0.7882602214813232,9.999999747378752e-05,0.6891241669654846,0.35519126057624817,0.860927164554596,0.8051947951316833,0.5120967626571655,0.771016538143158,0.0,0.0
8,0.6467315554618835,0.782914400100708,9.999999747378752e-05,0.6938775777816772,0.34808260202407837,0.7814569473266602,0.8051947951316833,0.5,0.7664910554885864,0.0,0.0
9,0.659248948097229,0.8322509527206421,9.999999747378752e-05,0.6560038924217224,0.375,0.9337748289108276,0.8051947951316833,0.5,0.7559176087379456,0.0,0.0
10,0.6383866667747498,0.7806349396705627,9.999999747378752e-05,0.692310094833374,0.3464788794517517,0.8145695328712463,0.8051947951316833,0.5881720185279846,0.7481870651245117,0.0,0.0
11,0.6745479702949524,0.8124533295631409,9.999999747378752e-05,0.6625170707702637,0.3790087401866913,0.860927164554596,0.8051947951316833,0.6115591526031494,0.7337425947189331,0.0,0.0
12,0.6634213924407959,0.8211745619773865,9.999999747378752e-05,0.6532565355300903,0.36887606978416443,0.8476821184158325,0.8051947951316833,0.5443548560142517,0.7354769110679626,0.0,0.0
13,0.660639762878418,0.8138466477394104,9.999999747378752e-05,0.6609108448028564,0.36599424481391907,0.8410596251487732,0.8051947951316833,0.5885752439498901,0.7156285643577576,0.0,0.0
14,0.6717663407325745,0.8122317790985107,9.999999747378752e-05,0.6580954194068909,0.3760932981967926,0.8543046116828918,0.8051947951316833,0.5893816947937012,0.7001355886459351,0.0,0.0
15,0.6884561777114868,0.8027411103248596,9.999999747378752e-05,0.6689741015434265,0.38837921619415283,0.8410596251487732,0.8051947951316833,0.5451613068580627,0.6929020285606384,0.0,0.0
16,0.6745479702949524,0.8131704330444336,9.999999747378752e-05,0.6510139107704163,0.3768545985221863,0.8410596251487732,0.8051947951316833,0.6509408354759216,0.6884146332740784,0.0,0.0
17,0.6703755259513855,0.8290562629699707,9.999999747378752e-05,0.6332932710647583,0.3757225573062897,0.860927164554596,0.8051947951316833,0.6118279695510864,0.6705133318901062,0.0,0.0
18,0.680111289024353,0.8244742155075073,9.999999747378752e-05,0.6378716826438904,0.38138139247894287,0.8410596251487732,0.8051947951316833,0.665725827217102,0.6465703845024109,0.0,0.0
19,0.6675938963890076,0.8446856737136841,9.999999747378752e-05,0.6245054602622986,0.37709498405456543,0.8940397500991821,0.8051947951316833,0.6051075458526611,0.6426502466201782,0.0,0.0
20,0.6842837333679199,0.8293419480323792,9.999999747378752e-05,0.6302262544631958,0.3827160596847534,0.8211920261383057,0.8051947951316833,0.7130376100540161,0.6425679922103882,0.0,0.0
21,0.6884561777114868,0.8185046315193176,9.999999747378752e-05,0.6398940682411194,0.3923303782939911,0.8807947039604187,0.8051947951316833,0.6827957034111023,0.6438831686973572,0.0,0.0
22,0.6842837333679199,0.83096843957901,9.999999747378752e-05,0.6281416416168213,0.386227548122406,0.8543046116828918,0.8051947951316833,0.664381742477417,0.6745129227638245,0.0,0.0
23,0.7037551999092102,0.8353115320205688,9.999999747378752e-05,0.6247121691703796,0.4000000059604645,0.8211920261383057,0.5974025726318359,0.6762096881866455,0.7518101334571838,0.27142858505249023,0.6333333253860474
24,0.6717663407325745,0.8155955672264099,9.999999747378752e-05,0.6373435854911804,0.37388724088668823,0.8344370722770691,0.5129870176315308,0.672042965888977,0.78909832239151,0.23529411852359772,0.6666666865348816
25,0.7037551999092102,0.8409896492958069,4.999999873689376e-05,0.6195541620254517,0.4037266969680786,0.860927164554596,0.551948070526123,0.6821236610412598,0.7571707963943481,0.2467532455921173,0.6333333253860474
26,0.6856745481491089,0.8251912593841553,4.999999873689376e-05,0.6274712681770325,0.3860182464122772,0.8410596251487732,0.8181818127632141,0.7204301357269287,0.5656629800796509,0.75,0.10000000149011612
27,0.7023643851280212,0.8305194973945618,4.999999873689376e-05,0.6205503940582275,0.4000000059604645,0.8344370722770691,0.8246753215789795,0.8255376219749451,0.5340356826782227,1.0,0.10000000149011612
28,0.6884561777114868,0.8372294902801514,4.999999873689376e-05,0.6162869334220886,0.3916913866996765,0.8741722106933594,0.798701286315918,0.7990591526031494,0.602764904499054,0.48275861144065857,0.46666666865348816
29,0.7065368294715881,0.8396488428115845,4.999999873689376e-05,0.614197313785553,0.40566039085388184,0.8543046116828918,0.7142857313156128,0.7934139966964722,0.6817662119865417,0.375,0.699999988079071
30,0.6954103112220764,0.8347460627555847,4.999999873689376e-05,0.6189882755279541,0.39570552110671997,0.8543046116828918,0.5974025726318359,0.8134408593177795,0.7121874094009399,0.3181818127632141,0.9333333373069763
